,distance,consume,speed,temp_inside,temp_outside,gas_type,refill liters,refill gas,Fuel Consumption,Price of Consumption
117,22.9,6.0,42,23.0,4,SP98,,,1.3739999999999999,2.0060399999999996
118,12.4,4.6,38,23.0,1,SP98,,,0.5704,0.832784
119,12.9,5.8,40,23.0,4,SP98,,,0.7482,1.092372
120,11.8,5.1,43,23.0,0,SP98,,,0.6018,0.878628
121,12.2,5.8,58,23.0,2,SP98,,,0.7075999999999999,1.0330959999999998
122,24.8,4.6,55,23.0,3,SP98,,,1.1408,1.665568
123,14.2,5.6,24,23.0,8,SP98,,,0.7951999999999999,1.1609919999999998
124,11.8,4.6,38,23.0,0,SP98,,,0.5428000000000001,0.7924880000000001
125,12.2,6.3,57,23.0,0,SP98,,,0.7686,1.122156
126,24.7,5.5,56,25.0,1,SP98,,,1.3585,1.9834100000000001
127,6.8,4.3,46,24.0,2,SP98,,,0.2924,0.426904
128,17.3,5.6,37,21.5,1,SP98,,,0.9688,1.414448
129,11.8,4.3,44,21.5,-3,SP98,,,0.5074,0.7408039999999999
130,15.9,5.7,46,21.5,5,SP98,,,0.9063000000000001,1.323198
131,5.1,6.4,39,21.5,4,SP98,,,0.32639999999999997,0.47654399999999997
132,16.1,4.5,33,21.5,6,SP98,,,0.7245,1.05777
133,11.8,4.5,43,21.5,3,SP98,,,0.531,0.7752600000000001
134,4.2,6.0,26,21.5,5,SP98,,,0.252,0.36791999999999997
135,17.4,5.1,30,21.5,5,SP98,,,0.8873999999999999,1.2956039999999998
136,23.5,6.0,25,21.5,5,SP98,,,1.41,2.0585999999999998
137,11.8,4.5,38,21.5,5,SP98,,,0.531,0.7752600000000001
138,12.3,6.1,61,21.5,10,SP98,,,0.7503000000000001,1.0954380000000001
191,43.7,4.7,44,22.0,9,SP98,10.0,SP98,2.0539,2.998694
192,12.1,4.2,43,22.0,4,SP98,39.0,SP98,0.5082,0.741972
193,56.1,4.8,82,22.0,13,SP98,,,2.6928,3.931488
194,39.0,4.1,61,22.0,16,SP98,,,1.5989999999999998,2.3345399999999996
195,11.8,4.5,41,21.5,13,SP98,,,0.531,0.7752600000000001
196,38.5,4.8,63,21.5,14,SP98,,,1.848,2.69808
197,28.2,4.6,54,21.5,14,SP98,,,1.2972,1.8939119999999998
198,2.9,7.4,24,21.5,14,SP98,,,0.2146,0.31331600000000004
199,6.1,5.6,24,21.5,13,SP98,,,0.34159999999999996,0.4987359999999999
200,19.6,4.9,43,21.5,13,SP98,,,0.9604000000000001,1.402184
201,22.2,3.8,42,21.9,15,SP98,,,0.8435999999999999,1.2316559999999999
202,13.6,4.5,44,19.0,18,SP98,,,0.612,0.89352
203,12.6,4.1,33,21.9,17,SP98,,,0.5166,0.7542359999999999
204,8.7,5.3,28,22.5,12,SP98,,,0.46109999999999995,0.673206
205,7.9,4.7,31,22.5,12,SP98,,,0.3713,0.542098
206,2.4,9.0,26,20.0,10,SP98,,,0.216,0.31536
207,4.9,6.3,26,20.0,10,SP98,,,0.30870000000000003,0.45070200000000005
208,18.1,3.6,36,20.0,19,SP98,,,0.6516000000000002,0.9513360000000003
209,25.9,3.7,39,20.0,21,SP98,,,0.9583,1.399118
210,1.3,11.5,21,20.0,10,SP98,,,0.14950000000000002,0.21827000000000002
211,14.1,5.0,22,20.0,12,SP98,,,0.7050000000000001,1.0293
212,13.4,5.5,31,20.0,9,SP98,,,0.737,1.07602
213,6.4,4.7,33,20.0,8,SP98,,,0.3008,0.439168
214,12.9,4.5,42,20.0,13,SP98,,,0.5805,0.84753
215,12.1,4.4,33,22.5,5,SP98,,,0.5324,0.777304
216,15.7,4.1,32,22.5,13,SP98,,,0.6436999999999999,0.9398019999999999
217,16.2,4.4,26,22.5,11,SP98,,,0.7128,1.040688
218,12.8,4.6,22,22.5,12,SP98,,,0.5888,0.859648
219,19.0,4.4,58,22.5,17,SP98,,,0.8360000000000001,1.22056
220,29.0,4.0,27,22.5,12,SP98,,,1.16,1.6935999999999998
221,12.1,5.0,32,22.5,9,SP98,,,0.605,0.8833
222,12.3,5.2,55,22.5,10,SP98,,,0.6396000000000001,0.9338160000000001
223,24.8,4.0,56,22.5,11,SP98,,,0.9920000000000001,1.44832
224,12.9,5.1,34,22.5,8,SP98,,,0.6578999999999999,0.9605339999999999
225,11.8,4.5,39,22.5,3,SP98,,,0.531,0.7752600000000001
226,31.4,4.6,62,22.5,11,SP98,,,1.4444,2.108824
227,19.0,5.1,53,22.5,4,SP98,,,0.969,1.4147399999999999
228,13.0,5.7,38,22.5,3,SP98,,,0.741,1.08186
229,11.8,4.8,42,22.5,2,SP98,,,0.5664,0.826944
230,13.0,6.2,32,22.5,4,SP98,,,0.806,1.17676
231,11.8,5.0,43,22.5,1,SP98,,,0.5900000000000001,0.8614
232,27.1,5.0,69,22.5,8,SP98,,,1.3550000000000002,1.9783000000000002
233,5.2,4.6,38,22.5,8,SP98,,,0.2392,0.349232
274,25.7,4.9,50,22.0,10,SP98,41.0,SP98,1.2593,1.838578
275,16.0,4.1,40,22.0,10,SP98,,,0.6559999999999999,0.9577599999999998
276,16.1,4.5,32,22.0,19,SP98,,,0.7245,1.05777
277,16.0,4.4,40,22.0,7,SP98,,,0.7040000000000001,1.02784
278,16.0,4.5,41,22.0,11,SP98,,,0.72,1.0512
279,24.7,4.5,26,22.0,10,SP98,,,1.1115,1.62279
280,16.0,3.9,42,22.0,8,SP98,,,0.624,0.91104
281,15.4,4.6,43,22.0,16,SP98,,,0.7084,1.034264
282,16.0,3.8,40,22.0,8,SP98,,,0.608,0.8876799999999999
283,32.1,4.5,50,22.0,16,SP98,,,1.4445000000000001,2.1089700000000002
284,25.9,4.4,40,22.0,14,SP98,,,1.1396,1.663816
285,48.6,4.3,44,22.0,12,SP98,,,2.0898,3.0511079999999997
286,37.2,4.0,45,22.0,20,SP98,,,1.4880000000000002,2.17248
287,28.8,3.9,35,22.0,15,SP98,,,1.1232,1.639872
288,6.7,5.0,30,22.0,17,SP98,,,0.335,0.48910000000000003
289,7.4,4.1,25,22.0,18,SP98,,,0.3034,0.44296399999999997
290,17.3,4.1,22,22.0,25,SP98,,,0.7092999999999999,1.0355779999999999
291,6.6,5.6,43,22.0,16,SP98,,,0.36959999999999993,0.5396159999999999
292,14.3,4.1,26,22.0,20,SP98,,,0.5862999999999999,0.8559979999999999
293,13.3,4.6,33,22.0,18,SP98,,,0.6118,0.893228
294,8.3,4.9,26,22.0,23,SP98,,,0.40670000000000006,0.593782
295,12.7,4.5,39,22.0,27,SP98,,,0.5714999999999999,0.8343899999999999
296,16.5,4.1,47,22.0,14,SP98,,,0.6764999999999999,0.9876899999999998
297,20.6,4.1,38,22.0,21,SP98,,,0.8445999999999999,1.2331159999999999
298,16.3,4.5,58,22.0,16,SP98,,,0.7335,1.07091
299,18.7,4.2,65,25.0,18,SP98,,,0.7854,1.146684
300,36.5,3.9,54,23.0,18,SP98,,,1.4235,2.07831
301,19.0,5.0,35,22.0,15,SP98,,,0.9500000000000001,1.387
302,16.6,4.4,46,22.0,5,SP98,,,0.7304000000000002,1.0663840000000002
303,29.9,4.5,32,22.0,18,SP98,,,1.3455,1.96443
304,16.0,3.8,42,22.0,11,SP98,,,0.608,0.8876799999999999
305,21.1,5.1,33,22.0,10,SP98,,,1.0761,1.5711060000000001
306,16.0,3.9,40,22.0,10,SP98,,,0.624,0.91104
307,11.9,5.3,34,22.0,13,SP98,,,0.6307,0.920822
308,10.1,4.2,35,22.0,16,SP98,,,0.4242,0.619332
309,31.9,4.3,33,22.0,16,SP98,,,1.3717,2.0026819999999996
310,18.7,4.0,60,22.0,13,SP98,,,0.748,1.09208
311,10.8,4.7,48,22.0,17,SP98,,,0.5076,0.7410960000000001
312,19.8,4.0,56,22.0,17,SP98,,,0.792,1.15632
313,11.3,4.3,38,22.0,17,SP98,37.0,SP98,0.4859,0.709414
314,11.5,5.3,53,22.0,15,SP98,,,0.6094999999999999,0.8898699999999998
315,21.4,5.2,51,22.0,13,SP98,,,1.1128,1.624688
316,32.0,4.9,53,22.0,15,SP98,,,1.568,2.28928
317,41.9,4.7,53,22.0,14,SP98,,,1.9692999999999998,2.8751779999999996
318,211.0,4.6,80,22.0,20,SP98,,,9.706,14.17076
319,216.1,5.3,90,22.0,21,SP98,,,11.453299999999999,16.721818
320,25.5,3.6,27,22.0,27,SP98,,,0.9180000000000001,1.3402800000000001
321,16.6,4.2,52,22.0,15,SP98,,,0.6972000000000002,1.0179120000000002
322,25.9,4.1,43,22.0,24,SP98,,,1.0618999999999998,1.5503739999999997
323,16.5,4.0,48,22.0,15,SP98,,,0.66,0.9636
324,22.1,3.9,29,22.0,26,SP98,,,0.8619,1.2583739999999999
349,18.3,4.3,46,22.0,16,SP98,37.2,SP98,0.7868999999999999,1.148874
350,16.1,4.8,36,22.0,18,SP98,,,0.7728,1.128288
351,16.0,4.1,46,22.0,17,SP98,,,0.6559999999999999,0.9577599999999998
352,16.3,4.0,35,22.0,23,SP98,,,0.652,0.95192
353,16.0,3.7,44,22.0,16,SP98,,,0.5920000000000001,0.8643200000000001
354,18.3,4.3,46,22.0,23,SP98,,,0.7868999999999999,1.148874
355,4.5,5.2,23,22.0,23,SP98,,,0.234,0.34164
356,17.0,4.2,48,22.0,16,SP98,,,0.7140000000000001,1.04244
357,6.1,5.0,35,24.5,18,SP98,,,0.305,0.4453
358,6.1,5.0,33,22.0,24,SP98,,,0.305,0.4453
359,17.3,4.2,36,22.0,22,SP98,,,0.7266,1.0608360000000001
360,6.0,4.8,27,22.0,17,SP98,,,0.28800000000000003,0.42048
361,16.0,4.1,45,22.0,15,SP98,,,0.6559999999999999,0.9577599999999998
362,15.4,4.9,55,22.0,18,SP98,,,0.7546,1.1017160000000001
363,15.4,4.3,39,22.0,23,SP98,,,0.6622,0.966812
364,16.0,3.9,35,22.0,18,SP98,,,0.624,0.91104
365,15.4,4.5,52,22.0,26,SP98,,,0.693,1.01178
366,16.6,4.1,48,25.5,30,SP98,,,0.6806,0.993676
367,15.4,5.0,48,25.5,31,SP98,,,0.77,1.1242
368,16.0,4.0,43,22.0,21,SP98,,,0.64,0.9344
369,15.4,4.5,42,22.0,30,SP98,,,0.693,1.01178
370,16.0,3.6,43,22.0,19,SP98,,,0.5760000000000001,0.84096
371,20.9,4.1,33,22.0,21,SP98,,,0.8568999999999999,1.2510739999999998
372,32.1,3.9,47,22.0,26,SP98,,,1.2519,1.827774
373,15.3,6.6,16,24.0,27,SP98,,,1.0098,1.474308
374,28.5,4.0,44,25.0,23,SP98,,,1.1400000000000001,1.6644
375,11.9,3.7,33,25.0,19,SP98,,,0.4403000000000001,0.6428380000000001
376,14.5,4.3,36,25.0,22,SP98,,,0.6234999999999999,0.9103099999999998
377,16.6,4.1,49,22.0,26,SP98,,,0.6806,0.993676
378,16.2,4.4,39,24.5,17,SP98,,,0.7128,1.040688
379,16.7,3.8,44,24.5,23,SP98,,,0.6345999999999999,0.9265159999999999
380,8.3,5.0,52,24.5,27,SP98,,,0.41500000000000004,0.6059
381,5.5,3.7,33,24.5,28,SP98,,,0.20350000000000001,0.29711000000000004
382,13.6,3.7,33,24.5,28,SP98,,,0.5032000000000001,0.7346720000000001
383,16.0,3.7,39,24.5,18,SP98,,,0.5920000000000001,0.8643200000000001
384,16.1,4.3,38,25.0,31,SP98,,,0.6923,1.010758
385,16.0,3.8,45,25.0,19,SP98,,,0.608,0.8876799999999999
386,15.4,4.6,42,25.0,31,SP98,,,0.7084,1.034264
387,14.7,5.0,25,25.0,30,SP98,,,0.735,1.0731
