,distance,consume,speed,temp_inside,temp_outside,gas_type,refill liters,refill gas,Fuel Consumption,Price of Consumption
169,21.1,4.8,43,21.5,7,E10,,,1.0128000000000001,1.397664
170,22.7,4.7,55,21.5,6,E10,,,1.0669,1.472322
171,44.4,4.8,38,21.5,8,E10,38.3,E10,2.1311999999999998,2.9410559999999992
172,35.8,4.4,51,21.5,6,E10,,,1.5752,2.1737759999999997
173,11.8,4.9,44,21.5,0,E10,,,0.5782,0.797916
174,26.2,4.9,42,21.5,6,E10,,,1.2838,1.771644
175,40.6,4.4,44,21.0,3,E10,,,1.7864000000000002,2.4652320000000003
176,12.4,5.3,38,21.0,-5,E10,,,0.6572,0.906936
177,14.1,5.3,47,21.0,-3,E10,,,0.7473,1.0312739999999998
178,58.7,4.8,75,21.0,0,E10,,,2.8176,3.8882879999999997
179,16.2,5.2,29,21.0,0,E10,,,0.8424,1.162512
180,12.3,4.9,50,22.5,0,E10,,,0.6027,0.831726
181,12.3,7.1,52,22.5,0,E10,,,0.8733,1.2051539999999998
182,12.4,5.2,51,22.5,1,E10,,,0.6448,0.889824
183,31.8,4.7,59,22.5,3,E10,,,1.4946,2.0625479999999996
184,12.3,5.1,55,22.5,8,E10,,,0.6273,0.8656739999999999
185,51.6,5.0,73,22.5,12,E10,,,2.58,3.5604
186,38.6,4.6,44,22.5,10,E10,,,1.7756,2.450328
187,12.3,4.8,41,22.5,7,E10,,,0.5904,0.814752
188,81.2,4.4,69,22.0,13,E10,,,3.5728000000000004,4.930464000000001
189,130.3,4.6,85,22.0,12,E10,,,5.9938,8.271443999999999
190,67.2,4.3,67,22.0,18,E10,,,2.8895999999999997,3.987647999999999
234,19.0,4.5,29,22.5,10,E10,39.0,E10,0.855,1.1799
235,12.4,4.8,38,22.5,1,E10,,,0.5952000000000001,0.821376
236,25.2,5.0,55,22.5,9,E10,,,1.26,1.7388
237,14.3,4.8,36,22.5,10,E10,,,0.6864,0.947232
238,11.8,4.6,40,22.5,2,E10,,,0.5428000000000001,0.7490640000000001
239,16.9,4.5,48,22.5,9,E10,,,0.7605,1.0494899999999998
240,12.4,4.6,55,22.5,11,E10,,,0.5704,0.787152
241,17.4,4.4,36,22.5,12,E10,,,0.7656000000000001,1.056528
242,9.2,5.7,33,22.5,8,E10,,,0.5244,0.7236719999999999
243,12.3,5.8,54,22.5,10,E10,,,0.7134,0.9844919999999999
244,13.0,5.9,32,22.5,10,E10,,,0.767,1.05846
245,11.8,6.1,16,22.5,6,E10,,,0.7198,0.9933239999999999
246,13.0,5.7,37,22.5,11,E10,,,0.741,1.0225799999999998
247,12.3,5.0,42,22.5,10,E10,,,0.6150000000000001,0.8487000000000001
248,12.3,5.2,57,22.5,15,E10,,,0.6396000000000001,0.882648
249,12.5,4.3,57,22.5,16,E10,,,0.5375,0.7417499999999999
250,31.5,4.1,30,22.5,16,E10,,,1.2914999999999999,1.7822699999999996
251,11.8,4.4,42,22.5,8,E10,,,0.5192000000000001,0.7164960000000001
252,24.9,4.5,53,22.5,14,E10,,,1.1204999999999998,1.5462899999999997
253,17.0,3.9,46,22.5,14,E10,,,0.663,0.91494
254,2.0,8.1,20,22.5,14,E10,,,0.162,0.22355999999999998
255,11.8,4.4,33,22.5,8,E10,,,0.5192000000000001,0.7164960000000001
256,7.4,5.0,31,22.5,12,E10,,,0.37000000000000005,0.5106
257,12.4,4.7,55,22.5,14,E10,,,0.5828,0.8042639999999999
258,2.0,6.0,22,22.5,14,E10,,,0.12,0.16559999999999997
259,14.0,5.0,41,22.5,8,E10,,,0.7000000000000001,0.966
260,25.7,5.0,45,22.5,7,E10,,,1.2850000000000001,1.7733
261,24.5,3.9,50,21.9,15,E10,,,0.9555,1.31859
262,11.8,4.5,28,22.5,12,E10,,,0.531,0.73278
263,4.1,5.4,24,22.5,13,E10,,,0.2214,0.30553199999999997
264,4.2,5.6,29,22.0,17,E10,,,0.2352,0.324576
265,4.2,3.9,29,22.0,18,E10,,,0.1638,0.226044
266,16.0,4.0,40,22.0,10,E10,,,0.64,0.8832
267,22.9,4.0,29,21.9,21,E10,,,0.9159999999999999,1.2640799999999999
268,16.0,3.8,42,21.9,8,E10,,,0.608,0.8390399999999999
269,15.4,4.5,50,22.0,14,E10,,,0.693,0.9563399999999999
270,16.0,3.8,41,22.0,12,E10,,,0.608,0.8390399999999999
271,4.2,5.6,32,22.0,18,E10,,,0.2352,0.324576
272,101.9,5.2,75,22.0,18,E10,,,5.298800000000001,7.312344
273,93.9,4.8,88,23.0,18,E10,,,4.5072,6.219936
325,16.6,3.7,49,22.0,17,E10,37.7,E10,0.6142000000000002,0.8475960000000002
326,15.4,4.5,43,22.0,24,E10,,,0.693,0.9563399999999999
327,16.5,3.9,43,22.0,17,E10,,,0.6435,0.8880299999999999
328,15.4,5.1,21,22.0,24,E10,,,0.7854,1.0838519999999998
329,18.4,4.2,59,22.0,24,E10,,,0.7728,1.066464
330,39.5,4.2,58,22.0,25,E10,,,1.659,2.28942
331,21.5,4.8,47,25.0,27,E10,,,1.032,1.4241599999999999
332,4.8,4.7,26,25.0,18,E10,,,0.2256,0.311328
333,100.9,4.7,87,23.5,22,E10,,,4.7423,6.5443739999999995
334,129.7,4.6,58,24.0,21,E10,,,5.9662,8.233355999999999
335,16.6,3.8,43,21.5,16,E10,,,0.6308,0.870504
336,15.4,4.2,50,21.5,21,E10,,,0.6468,0.8925839999999999
337,16.0,3.7,45,22.0,17,E10,,,0.5920000000000001,0.81696
338,16.0,4.2,41,22.0,15,E10,,,0.672,0.92736
339,15.4,4.1,45,22.0,24,E10,,,0.6314,0.8713319999999999
340,16.0,4.0,43,22.0,16,E10,,,0.64,0.8832
341,21.0,3.8,37,22.0,21,E10,,,0.7979999999999999,1.1012399999999998
342,15.4,3.8,47,22.0,24,E10,,,0.5852,0.807576
343,16.0,3.8,42,22.0,17,E10,,,0.608,0.8390399999999999
344,16.1,5.1,30,25.0,16,E10,,,0.8211,1.133118
345,16.0,4.0,42,22.0,15,E10,,,0.64,0.8832
346,15.4,4.8,40,22.0,18,E10,,,0.7392000000000001,1.0200960000000001
347,17.2,3.9,35,22.0,16,E10,,,0.6708,0.9257039999999999
348,16.6,4.6,50,22.0,25,E10,,,0.7636000000000001,1.053768
